additional_paid_in_capital_trend,additional_paid_in_capital_recent,total_assets_trend,total_assets_recent,total_current_liabilities_trend,total_current_liabilities_recent,total_liabilities_trend,total_liabilities_recent,symbol,cash_trend,cash_recent,total_capitalization_trend,total_capitalization_recent,total_current_assets_trend,total_current_assets_recent
0.0,24712.0,0.0,89716.0,0.0,64798.0,0.0,64798.0,AEHAU,0.0,25000.0,0.0,101024918.0,,
,,,,,,,,AFACU,,,,,,
0.0,24712.0,0.0,87722.0,0.0,68665.0,,,AFARU,,,,,,
-1798384.0,447967.0,115550.0,231212.0,-248031.0,31910.0,-1107117.0,77908.0,AFIB,743484.0,773878.0,0.0,209175.0,-18947.0,82456.0
2740866.0,2795690.0,3514576.0,3586020.0,,,1200884.0,1271498.0,AFRM,1498820.0,1819268.0,,,,
0.0,23000.0,0.0,58899.0,,,0.0,40848.0,AFTR,0.0,25000.0,,,,
0.0,23875.0,0.0,66000.0,0.0,46000.0,0.0,46000.0,AGCB,,,,,0.0,66000.0
0.0,4124.0,11294000.0,13490000.0,4385000.0,8206000.0,5144000.0,9098000.0,AGFY,4957286.0,4958000.0,,,6369.0,10200.0
,,0.0,301623350.0,,,0.0,10500000.0,AGGRU,,,,,,
9440896.0,11523352.0,-612422.0,4749169.0,0.0,3223577.0,-405799.0,3654485.0,AGH,9892763.0,10539057.0,0.0,10982587.0,-159534.0,991386.0
0.0,227386.0,0.0,234883.0,0.0,48158.0,0.0,131330.0,AGIO,0.0,117661.0,0.0,146150.0,0.0,190585.0
0.0,1850230.0,0.0,446361.0,0.0,266835.0,0.0,421591.0,AGL,0.0,123633.0,0.0,1102117.0,0.0,294197.0
0.0,102283.0,42600.0,81254.0,1465.0,2523.0,0.0,2550.0,AGLE,26678.0,29294.0,0.0,78704.0,35556.0,38286.0
0.0,1968100.0,19731110.0,30202076.0,10404883.0,16628159.0,10404883.0,16628159.0,AGMH,3472462.0,7696699.0,,,12969584.0,21542318.0
0.0,286050999.0,0.0,1000.0,,,,,AGNC,0.0,1000.0,0.0,286201000.0,,
0.0,286050999.0,0.0,1000.0,,,,,AGNCM,0.0,1000.0,0.0,286201000.0,,
0.0,286050999.0,0.0,1000.0,,,,,AGNCO,0.0,1000.0,0.0,286201000.0,,
688652.0,1415008.0,10249043.0,14619329.0,1108686.0,2484270.0,1407268.0,2782852.0,AGRI,9602897.0,11761788.0,0.0,12400.0,9688819.0,11993224.0
688652.0,1415008.0,10249043.0,14619329.0,1108686.0,2484270.0,1407268.0,2782852.0,AGRI,9602897.0,11761788.0,0.0,12400.0,9688819.0,11993224.0
688652.0,1415008.0,10249043.0,14619329.0,1108686.0,2484270.0,1407268.0,2782852.0,AGRIW,9602897.0,11761788.0,0.0,12400.0,9688819.0,11993224.0
688652.0,1415008.0,10249043.0,14619329.0,1108686.0,2484270.0,1407268.0,2782852.0,AGRIW,9602897.0,11761788.0,0.0,12400.0,9688819.0,11993224.0
0.0,411910.0,,,,,,,AGRX,0.0,11681.0,,,,
118884.0,131127.0,10722.0,36212.0,0.0,3460.0,0.0,3570.0,AGTC,44955.0,53848.0,0.0,74915.0,10722.0,34233.0
,,0.0,393350.0,,,0.0,377533.0,AHH,0.0,18404.0,0.0,354484.0,,
,,,,,,,,AHI,,,,,,
0.0,24425.0,206274761.0,206417214.0,,,6878727.0,7000000.0,AHPA,,,,,,
0.0,24425.0,206274761.0,206417214.0,,,6878727.0,7000000.0,AHPAU,,,,,,
0.0,24425.0,206274761.0,206417214.0,,,6878727.0,7000000.0,AHPAW,,,,,,
0.0,24281.0,596466.0,925470.0,596825.0,918456.0,,,AHRNU,,,,,,
1236581.0,1295312.0,837934.0,1105419.0,10165.0,112365.0,7220.0,121374.0,AI,771133.0,869740.0,0.0,987038.0,111317.0,335144.0
0.0,24785.0,191985.0,342900.0,192570.0,323199.0,192570.0,323199.0,AIB,95572.0,120522.0,,,33072.0,130522.0
0.0,24785.0,191985.0,342900.0,192570.0,323199.0,192570.0,323199.0,AIBBR,95572.0,120522.0,,,33072.0,130522.0
0.0,24785.0,191985.0,342900.0,192570.0,323199.0,192570.0,323199.0,AIBBU,95572.0,120522.0,,,33072.0,130522.0
74678.0,78290.0,60237.0,102973.0,4928.0,33154.0,4165.0,53197.0,AIP,62749.0,76687.0,0.0,51472.0,0.0,28952.0
0.0,873379525.0,46851023.0,747849810.0,-30089108.0,66517428.0,-83979144.0,68290214.0,AIRO,19600965.0,40341555.0,,,60007233.0,79164259.0
404166.0,404893.0,0.0,636087.0,0.0,71101.0,0.0,277804.0,AKA,0.0,38527.0,0.0,523035.0,0.0,156427.0
,,-30156784.0,8839993.0,3321135.0,12668885.0,572269.0,12668885.0,AKAN,-2517184.0,82816.0,0.0,14479222.0,-2015156.0,1805865.0
0.0,184657824.0,0.0,2243873.0,0.0,4923330.0,0.0,4923330.0,AKBA,90196293.0,111411521.0,0.0,232362892.0,0.0,2243873.0
0.0,24425.0,0.0,43379.0,0.0,25294.0,0.0,25294.0,AKICU,,,,,,
,,,,,,,,AL,0.0,217623.0,0.0,7236319.0,,
0.0,23750.0,500000.0,565707.0,500000.0,541707.0,,,ALCC,,,0.0,453024000.0,,
585793.0,602871.0,336596.0,644955.0,0.0,47948.0,35906.0,231143.0,ALEC,0.0,65470.0,0.0,413812.0,0.0,293176.0
0.0,20759949.0,12020978.0,15377254.0,6389503.0,6421825.0,5630413.0,6421825.0,ALF,0.0,9754524.0,0.0,14630837.0,9721111.0,9763652.0
0.0,20759949.0,12020978.0,15377254.0,6389503.0,6421825.0,5630413.0,6421825.0,ALFIW,0.0,9754524.0,0.0,14630837.0,9721111.0,9763652.0
123892.0,571654.0,65560.0,817821.0,46249.0,150111.0,21217.0,183689.0,ALGM,114748.0,214491.0,0.0,749949.0,81173.0,448221.0
0.0,230793.0,0.0,31251.0,0.0,10735.0,,,ALIM,0.0,66157.0,0.0,60917.0,0.0,19468.0
603074.0,603409.0,353546.0,406280.0,547646.0,566091.0,-35399.0,2692.0,ALKT,313495.0,325477.0,0.0,365483.0,2031649.0,2059976.0
264056.0,265859.0,112875.0,199904.0,0.0,3418.0,0.0,7616.0,ALLK,110352.0,195559.0,0.0,196848.0,-8922.0,77322.0
0.0,858251.0,0.0,713565.0,0.0,2.0,17231.0,17233.0,ALLO,0.0,708647.0,0.0,696332.0,,
0.0,91152.0,,,,,,,ALLR,0.0,9827.0,0.0,8274.0,,
0.0,15899304.0,-3319794.0,3844047.0,-130413.0,626686.0,0.0,1567886.0,ALMU,-3780618.0,1291072.0,,,-3941060.0,1392846.0
162845.0,163675.0,35011.0,105019.0,-1889.0,3250.0,3710.0,13029.0,ALNA,262.0,948.0,0.0,102727.0,-20599.0,49275.0
93470.0,135379.0,66217.0,288067.0,30991.0,181911.0,40810.0,304699.0,ALTR,0.0,363.0,0.0,69913.0,6775.0,102598.0
4981076.0,5005326.0,339938.0,639938.0,345200.0,621046.0,0.0,621046.0,ALTUU,,,0.0,262018892.0,,
