technology,software,ai,machine learning,cloud,saas,platform,digital,data,analytics,algorithm,automation,blockchain,cryptocurrency,cybersecurity,subscription,recurring,e-commerce,mobile,app,virtual,healthcare,biotech,pharmaceutical,medical,clinical,energy,renewable,solar,electric,battery,real estate,logistics,transportation,automotive,Citigroup,Citi,Morgan Stanley,Ubs,Barclays,Volume,Day,Close,Diff,Price_Public_Total,Symbol,Public_Price_Per_Share,Raymond James,Piper Jaffray,Wells Fargo,Merrill Lynch,Rbc Capital,Morgan Stanley.1,Merrill Lynch.1,Eli Lilly,Credit Suisse,Stifel,Jefferies,Hill Road,Robert W. Baird,William Blair,Goldman Sachs,Deutsche Bank,Davis Polk,William Blair.1,Goldman Sachs.1
5,2,0,0,1,0,19,3,42,0,0,0,0,0,5,3,1,0,0,0,0,0,0,0,4,0,18,0,0,1,0,7,0,0,1,1.0,1.0,1.0,1.0,1.0,152320,2014-10-02 20:00:00.000 -0400,18.75,0.55,870000000.0,AAC,10.0,,,,,,,,,,,,,,,,,,,
26,5,0,0,3,0,4,14,11,0,0,0,4,0,0,4,6,3,26,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,,,,1.0,,373250,2021-11-09 19:00:00.000 -0500,9.75,-0.02,150000000.0,AACI,10.0,,,,,,,,,,,,,,,,,,,
26,5,0,0,3,0,4,14,11,0,0,0,4,0,0,4,6,3,26,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,,,,1.0,,441200,2021-11-10 19:00:00.000 -0500,0.5,0.0,150000000.0,AACIW,10.0,,,,,,,,,,,,,,,,,,,
71,4,0,0,4,0,1,14,144,0,0,1,0,0,0,1,15,0,0,0,1,0,0,0,0,0,2,2,0,1,1,7,0,2,0,,1.0,,1.0,,252429,2013-09-26 20:00:00.000 -0400,10.01,0.05,36000000.0,AAOI,24.25,8.0,6.0,,,,,,,,,,,,,,,,,
33,9,12,0,2,0,8,4,10,3,0,9,0,0,5,2,2,2,0,0,0,0,0,0,3,0,6,0,0,17,2,1,0,29,8,,,,1.0,,2450,2021-05-10 20:00:00.000 -0400,9.75,-0.0714,400000000.0,AAQC,10.0,,,,,,,,,,,,,,,,,,,
7,4,0,0,0,0,2,3,44,0,0,0,0,0,0,1,62,0,0,0,0,4,0,0,7,0,2,0,0,1,0,399,0,4,0,,,16.0,1.0,,1297620,2011-01-13 19:00:00.000 -0500,21.31,-0.14,563750016.0,AAT,20.5,,5.0,19.0,16.0,1.0,1.0,1.0,,,,,,,,,,,,
265,41,30,7,1,0,175,0,213,0,0,7,0,0,1,4,12,0,0,0,0,5,11,31,9,113,0,0,0,0,0,1,1,1,0,,,,1.0,,3541,2020-12-11 19:00:00.000 -0500,58.85,-0.05,483000000.0,ABCL,20.0,,,,,,,,16.0,1.0,1.0,,,,,,,,,
10,0,0,0,2,0,2,5,46,0,0,0,0,0,0,4,0,0,0,0,0,44,7,0,16,8,0,0,0,0,0,4,0,0,0,,,3.0,1.0,,647051,2021-02-17 19:00:00.000 -0500,10.33,-0.01,131000000.0,ABGI,10.0,,,,,,,,,,,1.0,,,,,,,,
91,47,0,4,6,0,468,15,238,4,1,1,1,0,3,11,11,10,36,11,1,2,0,0,4,0,3,2,1,0,0,9,1,3,0,,1.0,18.0,1.0,,26912701,2020-12-10 19:00:00.000 -0500,137.62,-7.36,88092104.0,ABNB,68.0,,,,,,1.0,,,,,,2.0,1.0,2.0,1.0,,,,
31,0,0,0,0,0,2,0,162,0,0,0,0,0,1,4,4,0,0,13,0,58,0,43,40,478,0,0,0,0,0,1,0,0,0,,1.0,,1.0,,401014,2021-07-01 20:00:00.000 -0400,20.82,0.32,159999984.0,ABOS,16.0,,,,,,,,12.0,1.0,1.0,,,,,,,,,
