additional_paid_in_capital_trend,additional_paid_in_capital_recent,total_assets_trend,total_assets_recent,total_current_liabilities_trend,total_current_liabilities_recent,total_liabilities_trend,total_liabilities_recent,symbol,cash_trend,cash_recent,total_capitalization_trend,total_capitalization_recent,total_current_assets_trend,total_current_assets_recent,technology,software,ai,machine learning,cloud,saas,platform,digital,data,analytics,algorithm,automation,blockchain,cryptocurrency,cybersecurity,subscription,recurring,e-commerce,mobile,app,virtual,healthcare,biotech,pharmaceutical,medical,clinical,energy,renewable,solar,electric,battery,real estate,logistics,transportation,automotive,citigroup,citi,morgan stanley,ubs,barclays,volume,day,close,diff,price_public_total,public_price_per_share_x,raymond james,piper jaffray,wells fargo,merrill lynch,rbc capital,morgan stanley.1,merrill lynch.1,eli lilly,credit suisse,stifel,jefferies,hill road,robert w. baird,william blair,goldman sachs,deutsche bank,davis polk,william blair.1,goldman sachs.1,public_price_per_share_y,url,ipo_date,document_length
484548.0,485183.0,369698.0,458267.0,25275.0,35370.0,151186.0,159959.0,ABSI,244620.0,314487.0,0.0,388638.0,112110.0,185344.0,331,13,60,7,2,0,305,1,175,13,0,2,0,0,5,6,17,0,0,0,0,25,0,25,24,162,2,0,0,3,0,3,3,1,0,,,,1.0,,655983,2021-07-22 20:00:00.000 -0400,22.885,1.185,200000000.0,16.0,,,,,,,,,1.0,1.0,,,,,,,,,,16.0,https://www.sec.gov/Archives/edgar/data/1672688/000162828021014341/absci424.htm,2021-07-22,3761283
,,-567739626.0,1945156.0,,,-517100981.0,1743326.0,ABTX,5567.0,17336.0,0.0,323862.0,,,17,8,0,0,0,0,13,0,97,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,9,0,10,0,0,0,0,264,0,1,1,,1.0,,1.0,,82336,2015-10-08 20:00:00.000 -0400,22.55,-0.63,54600000.0,21.0,1.0,,,,,,,,,,,,2.0,,,,,,,21.0,https://www.sec.gov/Archives/edgar/data/1642081/000119312515340382/d917185d424b4.htm,2015-10-08,3711147
0.0,24250.0,0.0,175634.0,,,0.0,151634.0,ACABW,,,0.0,267344000.0,,,30,3,1,0,2,0,0,3,13,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,0,,,,1.0,,569997,2022-03-07 19:00:00.000 -0500,0.16,0.0,261000000.0,10.0,,,,,,,,,,,,,,,,,,,,10.0,https://www.sec.gov/Archives/edgar/data/1893219/000119312522011366/d482235d424b4.htm,2022-03-07,1344967
0.0,24784.0,0.0,77270000.0,0.0,115000.0,0.0,2625000.0,ACAX,0.0,50000.0,0.0,77270000.0,,,23,1,0,2,2,0,4,4,11,2,0,2,0,0,0,5,0,0,0,0,2,4,2,0,2,0,0,0,0,0,0,66,0,2,0,,,,1.0,,155000,2022-03-23 20:00:00.000 -0400,9.81,-0.04,1764875.0,0.4,,,,,,,,,,,,,,,,,,,,0.4,https://www.sec.gov/Archives/edgar/data/1897245/000149315225000413/form424b4.htm,2022-03-23,1821577
0.0,24784.0,0.0,77270000.0,0.0,115000.0,0.0,2625000.0,ACAXU,0.0,50000.0,0.0,77270000.0,,,23,1,0,2,2,0,4,4,11,2,0,2,0,0,0,5,0,0,0,0,2,4,2,0,2,0,0,0,0,0,0,66,0,2,0,,,,1.0,,847482,2022-02-01 19:00:00.000 -0500,9.96,0.0,75000000.0,10.0,,,,,,,,,,,,,,,,,,,,10.0,https://www.sec.gov/Archives/edgar/data/1897245/000149315222002998/form424b4.htm,2022-02-01,1821577
0.0,23850.0,0.0,41409194.0,0.0,35806.0,0.0,1600000.0,ACBAU,,,,,,,16,3,2,0,0,0,3,8,10,2,0,0,1,0,0,2,0,49,9,1,0,3,1,0,1,0,5,0,0,0,0,2,0,1,0,,,5.0,1.0,,94967,2021-04-06 20:00:00.000 -0400,10.13,0.12,40000000.0,10.0,,,,,,1.0,,,,,,,,,,,,,,10.0,https://www.sec.gov/Archives/edgar/data/1844389/000121390021020256/ea139076-424b4_aceglobal.htm,2021-04-06,1227091
0.0,143938.0,0.0,136711.0,,,0.0,3495.0,ACET,0.0,136461.0,0.0,134595.0,,,33,2,0,0,0,0,2,1,149,0,0,0,0,0,0,4,4,0,0,0,0,62,0,75,55,587,3,0,0,0,0,0,4,0,0,,1.0,,1.0,,203022,2018-01-25 19:00:00.000 -0500,11.35,-0.16,85000008.0,15.0,,,,3.0,,,1.0,,,,,,,,,,,,,15.0,https://www.sec.gov/Archives/edgar/data/1720580/000119312518022393/d475892d424b4.htm,2018-01-25,1595882
28266993.0,28266988.0,29154643.0,51825127.0,17205111.0,18059427.0,11597578.0,34147634.0,ACHC,4125188.0,8614480.0,0.0,355145.0,18830559.0,22506807.0,10,13,0,0,0,0,7,0,93,0,0,0,0,0,0,3,11,0,0,0,0,154,0,3,47,6,0,1,0,0,0,7,1,5,0,1.0,1.0,,1.0,,28825,2012-01-10 19:00:00.000 -0500,11.33,-0.16,62500000.0,7.5,5.0,,,,1.0,,,,,,1.0,,,,,,,,,7.5,https://www.sec.gov/Archives/edgar/data/1520697/000119312511342423/d258032d424b4.htm,2012-01-10,4404747
0.0,395067.0,0.0,378255.0,0.0,16623.0,0.0,29546.0,ACHL,0.0,338193.0,0.0,349587.0,0.0,187797.0,59,1,0,0,0,0,64,0,232,0,3,13,0,0,0,20,1,0,0,0,0,106,1,54,65,624,0,0,0,0,0,1,4,2,0,,1.0,,1.0,,497032,2021-03-31 20:00:00.000 -0400,16.28,-0.27,175500000.0,18.0,,,,,,,,,,,,,,,,,,,,18.0,https://www.sec.gov/Archives/edgar/data/1830749/000119312521102495/d19910d424b4.htm,2021-03-31,2407122
0.0,5000220.0,0.0,70000.0,,,0.0,46000.0,ACII,,,0.0,301024000.0,,,16,3,2,0,2,0,2,2,14,5,0,0,0,0,0,3,0,0,0,0,0,5,0,0,3,0,1,0,0,0,0,7,1,0,0,,,,1.0,,10357,2021-03-29 20:00:00.000 -0400,9.66,-0.28,300000000.0,10.0,,,,6.0,,,,,,,,,,,,,,,,10.0,https://www.sec.gov/Archives/edgar/data/1838614/000121390021007228/f424b40221_atlascrestcorp2.htm,2021-03-29,2534066
