technology,software,ai,machine learning,cloud,saas,platform,digital,data,analytics,algorithm,automation,blockchain,cryptocurrency,cybersecurity,subscription,recurring,e-commerce,mobile,app,virtual,healthcare,biotech,pharmaceutical,medical,clinical,energy,renewable,solar,electric,battery,real estate,logistics,transportation,automotive,citigroup,citi,morgan stanley,ubs,barclays,volume,day,close,diff,price_public_total,symbol,public_price_per_share,raymond james,piper jaffray,wells fargo,merrill lynch,rbc capital,morgan stanley.1,merrill lynch.1,eli lilly,credit suisse,stifel,jefferies,hill road,robert w. baird,william blair,goldman sachs,deutsche bank,davis polk,william blair.1,goldman sachs.1,url,ipo_date
14,0,0,0,2,0,3,1,9,0,0,0,0,0,0,4,2,0,0,0,0,138,0,2,4,3,0,0,0,0,0,1,0,0,0,,,,1.0,,1196454,2020-12-23 19:00:00.000 -0500,10.3,-0.27,288000000.0,HCARU,10.0,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1824846/000114036120029470/nt10015116x10_424b4.htm,2020-12-23
307,135,0,11,38,7,79,10,439,225,0,0,0,0,1,83,29,0,3,0,0,266,0,4,46,97,0,0,0,0,0,1,0,0,0,,1.0,,1.0,,1307936,2019-07-25 20:00:00.000 -0400,38.39,-1.0,182000000.0,HCAT,26.0,,,,,,,,,,,,1.0,,1.0,6.0,,,,1.0,https://www.sec.gov/Archives/edgar/data/1636422/000162828019009003/healthcatalyst424b4.htm,2019-07-25
13,2,0,0,0,0,0,0,36,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,19,0,0,0,0,3,0,21,13,,,,1.0,,54113,2008-03-12 20:00:00.000 -0400,13.46,-0.55,24000000.0,HCCI,11.5,,,,,,,,1.0,,,,,2.0,5.0,,,,1.0,,,
3,1,0,0,0,0,0,0,35,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,6,0,0,0,0,87,0,0,0,,,,1.0,,31117,2021-06-10 20:00:00.000 -0400,23.6,0.29,10600200.0,HCDIP,3.0,,,,,,,,,,,,,,,,,,,,,
3,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,,108797,2012-10-24 20:00:00.000 -0400,23.27,-1.73,15000000.0,HCI,10.0,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1400810/000119312511057294/d424b4.htm,2012-10-24
62,4,0,0,2,0,8,3,13,0,0,2,0,0,0,6,0,0,3,0,0,5,0,0,0,0,43,12,6,13,2,4,2,0,6,1.0,1.0,4.0,1.0,1.0,58785,2021-03-08 19:00:00.000 -0500,9.97,-0.03,300000000.0,HCIC,10.0,,,,,,,,,,,,,,,,,1.0,,,https://www.sec.gov/Archives/edgar/data/1829455/000121390021002855/f424b40121_hennessycapital.htm,2021-03-08
62,4,0,0,2,0,8,3,13,0,0,2,0,0,0,6,0,0,3,0,0,5,0,0,0,0,43,12,6,13,2,4,2,0,6,1.0,1.0,4.0,1.0,1.0,1900,2021-01-15 19:00:00.000 -0500,11.17,0.0,300000000.0,HCICU,10.0,,,,,,,,,,,,,,,,,1.0,,,https://www.sec.gov/Archives/edgar/data/1829455/000121390021002855/f424b40121_hennessycapital.htm,2021-01-15
62,4,0,0,2,0,8,3,13,0,0,2,0,0,0,6,0,0,3,0,0,5,0,0,0,0,43,12,6,13,2,4,2,0,6,1.0,1.0,4.0,1.0,1.0,25816,2021-03-08 19:00:00.000 -0500,2.1,-0.15,300000000.0,HCICW,10.0,,,,,,,,,,,,,,,,,1.0,,,https://www.sec.gov/Archives/edgar/data/1829455/000121390021002855/f424b40121_hennessycapital.htm,2021-03-08
67,2,0,0,0,0,306,0,183,0,0,0,0,0,0,11,0,0,0,0,0,111,1,261,141,636,0,5,0,1,0,5,20,11,0,,1.0,,1.0,,296872,2016-03-17 20:00:00.000 -0400,13.35,-0.05,101250000.0,HCM,13.5,,,,1.0,,,,36.0,,1.0,,,,,,1.0,,,,https://www.sec.gov/Archives/edgar/data/1648257/000104746916011330/a2227658z424b4.htm,2016-03-17
90,200,0,0,459,2,129,23,160,2,0,37,0,0,7,105,6,0,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,2,,,11.0,1.0,,2639882,2021-12-09 19:00:00.000 -0500,85.62,1.12,1224000000.0,HCP,80.0,,,,,,1.0,,,,,,2.0,,1.0,1.0,,,,,https://www.sec.gov/Archives/edgar/data/1720671/000119312521352796/d205906d424b4.htm,2021-12-09
145,207,49,6,259,18,199,30,294,58,0,16,2,0,4,23,18,0,2,0,10,361,15,20,25,68,0,2,0,0,0,2,0,0,0,,,,1.0,,2570859,2021-10-13 20:00:00.000 -0400,3.48,-0.33,13050000.0,HCTI,4.0,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1839285/000160706221000414/hcti101421form424b4.htm,2021-10-13
102,1,0,0,0,0,62,1,155,0,0,0,0,0,7,2,3,0,0,0,0,84,1,54,21,680,0,0,0,0,0,1,1,0,0,,1.0,,1.0,,444520,2021-07-20 20:00:00.000 -0400,5.24,-0.57,56000000.0,HCWB,7.45,,,,,,,,3.0,,,,,,,,,,,,,
137,65,5,5,7,0,235,40,146,8,2,5,0,0,10,1,4,186,69,36,1,1,0,0,1,0,2,1,0,0,0,5,103,5,0,,1.0,14.0,1.0,,4536502,2021-07-01 20:00:00.000 -0400,13.99,0.56,680880000.0,HEPS,12.0,,,,,,1.0,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1850235/000110465921088134/tm219600-13_424b4.htm,2021-07-01
29,0,0,0,0,1,2,0,42,0,0,0,0,0,0,5,2,1,1,0,0,1,0,0,1,0,2,0,0,0,0,13,0,0,0,1.0,1.0,,1.0,,4144539,2021-03-04 19:00:00.000 -0500,10.2,0.11,800000000.0,HERAU,10.0,,,,,,,,,,,,,,,,,1.0,,,https://www.sec.gov/Archives/edgar/data/1842912/000121390021013776/f424b40321_ftachera.htm,2021-03-04
3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,6,3,5,0,0,0,0,0,0,,,,1.0,,18854,2021-11-11 19:00:00.000 -0500,9.88,0.02,50000000.0,HHGC,10.0,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1822886/000149315221023259/form424b4.htm,2021-11-11
3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,6,3,5,0,0,0,0,0,0,,,,1.0,,602490,2021-11-11 19:00:00.000 -0500,0.37,0.04,50000000.0,HHGCR,10.0,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1822886/000149315221023259/form424b4.htm,2021-11-11
3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,6,3,5,0,0,0,0,0,0,,,,1.0,,58338,2021-09-21 20:00:00.000 -0400,10.19,0.01,50000000.0,HHGCU,10.0,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1822886/000149315221023259/form424b4.htm,2021-09-21
58,39,24,16,1,3,137,7,221,11,0,5,0,0,0,33,5,0,97,6,6,1,0,0,2,0,0,0,0,0,0,5,1,0,0,,,7.0,1.0,,1146491,2019-05-09 20:00:00.000 -0400,16.28,0.55,220108704.0,HHR,13.5,,,,1.0,,1.0,,,1.0,,,,,,20.0,,,,1.0,https://www.sec.gov/Archives/edgar/data/1721181/000119312519142131/d734362d424b4.htm,2019-05-09
23,3,0,0,2,0,19,2,42,0,0,0,0,0,0,2,0,0,0,0,0,22,0,3,3,0,4,0,0,2,0,5,5,7,0,,,11.0,1.0,,10809,2020-12-15 19:00:00.000 -0500,10.0076,0.0076,325000000.0,HIGA,10.0,,,,,,1.0,,6.0,1.0,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1823776/000119312520274401/d863069d424b4.htm,2020-12-15
87,1,0,0,1,0,76,0,170,0,0,0,0,0,0,4,4,0,0,0,1,64,3,56,19,539,0,0,0,0,0,1,0,0,0,,,,1.0,,1625095,2022-01-12 19:00:00.000 -0500,2.76,-0.64,15000000.0,HILS,4.0,,,,,,,,1.0,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1861657/000149315222001157/form424b4.htm,2022-01-12
10,4,0,0,2,0,4,3,55,2,0,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,7,0,0,0,,,13.0,1.0,,1107597,2021-01-13 19:00:00.000 -0500,11.0,-0.5,240000000.0,HLAHU,10.0,,,3.0,,,1.0,,,,,,,,,,,1.0,,,https://www.sec.gov/Archives/edgar/data/1826814/000110465921004280/tm2032086-13_424b4.htm,2021-01-13
23,7,0,0,0,0,20,5,78,0,0,0,0,0,4,6,5,0,0,0,0,4,0,0,2,0,2,0,1,0,0,4,0,0,0,,,,1.0,,663516,2015-08-13 20:00:00.000 -0400,22.65,0.25,205616256.0,HLI,21.0,,,,5.0,,,1.0,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1302215/000104746915006830/a2225723z424b4.htm,2015-08-13
3,1,0,0,0,0,2,1,37,8,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,10.0,1.0,,732329,2017-03-01 19:00:00.000 -0500,18.2012,0.0112,22835216.0,HLNE,16.0,,,,,,1.0,,,,,,,,,,,1.0,,,,
68,1,0,0,0,0,5,0,122,0,0,3,0,0,41,2,1,0,0,2,0,0,0,0,4,0,3,0,0,0,0,5,8,18,8,,,,1.0,,378275,2023-03-29 20:00:00.000 -0400,3.4532,0.0332,8250000.0,HLP,4.0,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1855557/000121390023024223/f424b40323_hongligroupinc.htm,2023-03-29
5,3,0,0,0,0,8,1,28,0,0,0,0,0,0,4,4,1,0,0,0,6,0,0,0,0,0,0,0,2,0,27,0,0,0,1.0,1.0,4.0,1.0,1.0,12065082,2013-12-12 19:00:00.000 -0500,22.25,0.7,1974375040.0,HLT,20.0,1.0,,6.0,7.0,1.0,1.0,1.0,,1.0,,,,1.0,,,1.0,1.0,,,,
84,30,0,1,1,0,3,0,246,0,0,0,0,0,2,315,13,0,1,0,12,118,5,70,73,599,0,0,1,0,0,2,0,2,0,,1.0,24.0,1.0,,4842676,2024-02-08 19:00:00.000 -0500,10.12,0.09,124.0,HLXB,191.0,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1869105/000121390025062864/ea0237401-11.htm,2024-02-08
14,12,0,0,0,2,10,0,58,0,0,0,0,0,21,2,0,13,3,2,0,1,0,0,0,0,3,0,0,0,0,5,0,0,0,,,,1.0,,359694,2022-09-11 20:00:00.000 -0400,9.94,0.0,60000000.0,HMAC,10.0,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1894370/000121390022047446/f424b40822_hainanmanaslu.htm,2022-09-11
14,12,0,0,0,2,10,0,58,0,0,0,0,0,21,2,0,13,3,2,0,1,0,0,0,0,3,0,0,0,0,5,0,0,0,,,,1.0,,2907923,2022-08-10 20:00:00.000 -0400,10.0,-0.01,60000000.0,HMACU,10.0,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1894370/000121390022047446/f424b40822_hainanmanaslu.htm,2022-08-10
25,1,0,0,0,0,2,0,60,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,1,0,58,1,0,9,0,2,4,67,0,1.0,1.0,8.0,1.0,1.0,726273,2014-08-07 20:00:00.000 -0400,24.2,1.62,192000000.0,HMLP,20.0,,,,5.0,,1.0,1.0,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1603016/000119312514302189/d701161d424b4.htm,2014-08-07
7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,1,0,,,,1.0,,17178,2021-10-25 20:00:00.000 -0400,25.7,0.0,82186.0,HNNAZ,19846.0,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1145255/000110465921126235/tm2128106-7_424b4.htm,2021-10-25
