Fact_ID,Element_Name,Value,Unit,Is_Null,Context_Ref,Entity_ID,Period_Start,Period_End,Instant_Date,Taxonomy_Prefix,Element_Local_Name,Combined_Element_Name,Date_Part,Data_Type
Fact000144,Liabilities,9885000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,Liabilities,us-gaap:Liabilities_2025-06-30,2025-06-30,xbrl
Fact000145,Liabilities,28823000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,Liabilities,us-gaap:Liabilities_2024-12-31,2024-12-31,xbrl
Fact000185,CommonStockSharesOutstanding,2514571.0,Shares,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,CommonStockSharesOutstanding,us-gaap:CommonStockSharesOutstanding_2025-06-30,2025-06-30,xbrl
Fact000189,CommonStockSharesOutstanding,470825.0,Shares,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,CommonStockSharesOutstanding,us-gaap:CommonStockSharesOutstanding_2024-12-31,2024-12-31,xbrl
Fact000194,RetainedEarningsAccumulatedDeficit,58948000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,RetainedEarningsAccumulatedDeficit,us-gaap:RetainedEarningsAccumulatedDeficit_2025-06-30,2025-06-30,xbrl
Fact000195,RetainedEarningsAccumulatedDeficit,49172000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,RetainedEarningsAccumulatedDeficit,us-gaap:RetainedEarningsAccumulatedDeficit_2024-12-31,2024-12-31,xbrl
Fact000207,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2810000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest_2025-06-30,2025-06-30,xbrl
Fact000208,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,10521000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest_2024-12-31,2024-12-31,xbrl
Fact000210,LiabilitiesAndStockholdersEquity,12695000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30,us-gaap,LiabilitiesAndStockholdersEquity,us-gaap:LiabilitiesAndStockholdersEquity_2025-06-30,2025-06-30,xbrl
Fact000211,LiabilitiesAndStockholdersEquity,18302000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31,us-gaap,LiabilitiesAndStockholdersEquity,us-gaap:LiabilitiesAndStockholdersEquity_2024-12-31,2024-12-31,xbrl
Fact000213,RevenueFromContractWithCustomerExcludingAssessedTax,2716000.0,USD,false,From2025-04-012025-06-30,0000923601,2025-04-01,2025-06-30,,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax_2025-06-30,2025-06-30,xbrl
Fact000214,RevenueFromContractWithCustomerExcludingAssessedTax,2440000.0,USD,false,From2024-04-012024-06-30,0000923601,2024-04-01,2024-06-30,,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax_2024-06-30,2024-06-30,xbrl
Fact000215,RevenueFromContractWithCustomerExcludingAssessedTax,4709000.0,USD,false,From2025-01-01to2025-06-30,0000923601,2025-01-01,2025-06-30,,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax_2025-06-30,2025-06-30,xbrl
Fact000216,RevenueFromContractWithCustomerExcludingAssessedTax,4866000.0,USD,false,From2024-01-012024-06-30,0000923601,2024-01-01,2024-06-30,,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax_2024-06-30,2024-06-30,xbrl
Fact000218,CostOfGoodsAndServicesSold,1762000.0,USD,false,From2025-04-012025-06-30,0000923601,2025-04-01,2025-06-30,,us-gaap,CostOfGoodsAndServicesSold,us-gaap:CostOfGoodsAndServicesSold_2025-06-30,2025-06-30,xbrl
Fact000219,CostOfGoodsAndServicesSold,2116000.0,USD,false,From2024-04-012024-06-30,0000923601,2024-04-01,2024-06-30,,us-gaap,CostOfGoodsAndServicesSold,us-gaap:CostOfGoodsAndServicesSold_2024-06-30,2024-06-30,xbrl
Fact000220,CostOfGoodsAndServicesSold,3255000.0,USD,false,From2025-01-01to2025-06-30,0000923601,2025-01-01,2025-06-30,,us-gaap,CostOfGoodsAndServicesSold,us-gaap:CostOfGoodsAndServicesSold_2025-06-30,2025-06-30,xbrl
Fact000221,CostOfGoodsAndServicesSold,4040000.0,USD,false,From2024-01-012024-06-30,0000923601,2024-01-01,2024-06-30,,us-gaap,CostOfGoodsAndServicesSold,us-gaap:CostOfGoodsAndServicesSold_2024-06-30,2024-06-30,xbrl
Fact000223,GrossProfit,954000.0,USD,false,From2025-04-012025-06-30,0000923601,2025-04-01,2025-06-30,,us-gaap,GrossProfit,us-gaap:GrossProfit_2025-06-30,2025-06-30,xbrl
Fact000224,GrossProfit,324000.0,USD,false,From2024-04-012024-06-30,0000923601,2024-04-01,2024-06-30,,us-gaap,GrossProfit,us-gaap:GrossProfit_2024-06-30,2024-06-30,xbrl
Fact000225,GrossProfit,1454000.0,USD,false,From2025-01-01to2025-06-30,0000923601,2025-01-01,2025-06-30,,us-gaap,GrossProfit,us-gaap:GrossProfit_2025-06-30,2025-06-30,xbrl
Fact000226,GrossProfit,826000.0,USD,false,From2024-01-012024-06-30,0000923601,2024-01-01,2024-06-30,,us-gaap,GrossProfit,us-gaap:GrossProfit_2024-06-30,2024-06-30,xbrl
Fact000258,OperatingIncomeLoss,782000.0,USD,false,From2025-04-012025-06-30,0000923601,2025-04-01,2025-06-30,,us-gaap,OperatingIncomeLoss,us-gaap:OperatingIncomeLoss_2025-06-30,2025-06-30,xbrl
Fact000259,OperatingIncomeLoss,6154000.0,USD,false,From2024-04-012024-06-30,0000923601,2024-04-01,2024-06-30,,us-gaap,OperatingIncomeLoss,us-gaap:OperatingIncomeLoss_2024-06-30,2024-06-30,xbrl
Fact000260,OperatingIncomeLoss,3592000.0,USD,false,From2025-01-01to2025-06-30,0000923601,2025-01-01,2025-06-30,,us-gaap,OperatingIncomeLoss,us-gaap:OperatingIncomeLoss_2025-06-30,2025-06-30,xbrl
Fact000261,OperatingIncomeLoss,8441000.0,USD,false,From2024-01-012024-06-30,0000923601,2024-01-01,2024-06-30,,us-gaap,OperatingIncomeLoss,us-gaap:OperatingIncomeLoss_2024-06-30,2024-06-30,xbrl
Fact000288,NonoperatingIncomeExpense,27000.0,USD,false,From2025-04-012025-06-30,0000923601,2025-04-01,2025-06-30,,us-gaap,NonoperatingIncomeExpense,us-gaap:NonoperatingIncomeExpense_2025-06-30,2025-06-30,xbrl
Fact000289,NonoperatingIncomeExpense,17000.0,USD,false,From2024-04-012024-06-30,0000923601,2024-04-01,2024-06-30,,us-gaap,NonoperatingIncomeExpense,us-gaap:NonoperatingIncomeExpense_2024-06-30,2024-06-30,xbrl
Fact000290,NonoperatingIncomeExpense,6511000.0,USD,false,From2025-01-01to2025-06-30,0000923601,2025-01-01,2025-06-30,,us-gaap,NonoperatingIncomeExpense,us-gaap:NonoperatingIncomeExpense_2025-06-30,2025-06-30,xbrl
Fact000291,NonoperatingIncomeExpense,45000.0,USD,false,From2024-01-012024-06-30,0000923601,2024-01-01,2024-06-30,,us-gaap,NonoperatingIncomeExpense,us-gaap:NonoperatingIncomeExpense_2024-06-30,2024-06-30,xbrl
Fact000299,IncomeTaxExpenseBenefit,52000.0,USD,false,From2024-04-012024-06-30,0000923601,2024-04-01,2024-06-30,,us-gaap,IncomeTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit_2024-06-30,2024-06-30,xbrl
Fact000308,NetIncomeLossAttributableToNoncontrollingInterest,224000.0,USD,false,From2025-04-012025-06-30,0000923601,2025-04-01,2025-06-30,,us-gaap,NetIncomeLossAttributableToNoncontrollingInterest,us-gaap:NetIncomeLossAttributableToNoncontrollingInterest_2025-06-30,2025-06-30,xbrl
Fact000310,NetIncomeLossAttributableToNoncontrollingInterest,327000.0,USD,false,From2025-01-01to2025-06-30,0000923601,2025-01-01,2025-06-30,,us-gaap,NetIncomeLossAttributableToNoncontrollingInterest,us-gaap:NetIncomeLossAttributableToNoncontrollingInterest_2025-06-30,2025-06-30,xbrl
Fact000313,NetIncomeLossAvailableToCommonStockholdersBasic,585000.0,USD,false,From2025-04-012025-06-30,0000923601,2025-04-01,2025-06-30,,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,us-gaap:NetIncomeLossAvailableToCommonStockholdersBasic_2025-06-30,2025-06-30,xbrl
Fact000314,NetIncomeLossAvailableToCommonStockholdersBasic,6119000.0,USD,false,From2024-04-012024-06-30,0000923601,2024-04-01,2024-06-30,,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,us-gaap:NetIncomeLossAvailableToCommonStockholdersBasic_2024-06-30,2024-06-30,xbrl
Fact000315,NetIncomeLossAvailableToCommonStockholdersBasic,9776000.0,USD,false,From2025-01-01to2025-06-30,0000923601,2025-01-01,2025-06-30,,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,us-gaap:NetIncomeLossAvailableToCommonStockholdersBasic_2025-06-30,2025-06-30,xbrl
Fact000316,NetIncomeLossAvailableToCommonStockholdersBasic,8486000.0,USD,false,From2024-01-012024-06-30,0000923601,2024-01-01,2024-06-30,,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,us-gaap:NetIncomeLossAvailableToCommonStockholdersBasic_2024-06-30,2024-06-30,xbrl
Fact000318,EarningsPerShareBasic,0.24,USDPShares,false,From2025-04-012025-06-30,0000923601,2025-04-01,2025-06-30,,us-gaap,EarningsPerShareBasic,us-gaap:EarningsPerShareBasic_2025-06-30,2025-06-30,xbrl
Fact000320,EarningsPerShareDiluted,0.24,USDPShares,false,From2025-04-012025-06-30,0000923601,2025-04-01,2025-06-30,,us-gaap,EarningsPerShareDiluted,us-gaap:EarningsPerShareDiluted_2025-06-30,2025-06-30,xbrl
Fact000322,EarningsPerShareBasic,190.68,USDPShares,false,From2024-04-012024-06-30,0000923601,2024-04-01,2024-06-30,,us-gaap,EarningsPerShareBasic,us-gaap:EarningsPerShareBasic_2024-06-30,2024-06-30,xbrl
Fact000324,EarningsPerShareDiluted,190.68,USDPShares,false,From2024-04-012024-06-30,0000923601,2024-04-01,2024-06-30,,us-gaap,EarningsPerShareDiluted,us-gaap:EarningsPerShareDiluted_2024-06-30,2024-06-30,xbrl
Fact000326,EarningsPerShareBasic,4.4,USDPShares,false,From2025-01-01to2025-06-30,0000923601,2025-01-01,2025-06-30,,us-gaap,EarningsPerShareBasic,us-gaap:EarningsPerShareBasic_2025-06-30,2025-06-30,xbrl
Fact000328,EarningsPerShareDiluted,4.4,USDPShares,false,From2025-01-01to2025-06-30,0000923601,2025-01-01,2025-06-30,,us-gaap,EarningsPerShareDiluted,us-gaap:EarningsPerShareDiluted_2025-06-30,2025-06-30,xbrl
Fact000330,EarningsPerShareBasic,264.44,USDPShares,false,From2024-01-012024-06-30,0000923601,2024-01-01,2024-06-30,,us-gaap,EarningsPerShareBasic,us-gaap:EarningsPerShareBasic_2024-06-30,2024-06-30,xbrl
Fact000332,EarningsPerShareDiluted,264.44,USDPShares,false,From2024-01-012024-06-30,0000923601,2024-01-01,2024-06-30,,us-gaap,EarningsPerShareDiluted,us-gaap:EarningsPerShareDiluted_2024-06-30,2024-06-30,xbrl
Fact000334,WeightedAverageNumberOfSharesOutstandingBasic,2472464.0,Shares,false,From2025-04-012025-06-30,0000923601,2025-04-01,2025-06-30,,us-gaap,WeightedAverageNumberOfSharesOutstandingBasic,us-gaap:WeightedAverageNumberOfSharesOutstandingBasic_2025-06-30,2025-06-30,xbrl
Fact000336,WeightedAverageNumberOfDilutedSharesOutstanding,2472464.0,Shares,false,From2025-04-012025-06-30,0000923601,2025-04-01,2025-06-30,,us-gaap,WeightedAverageNumberOfDilutedSharesOutstanding,us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding_2025-06-30,2025-06-30,xbrl
Fact000338,WeightedAverageNumberOfSharesOutstandingBasic,32090.0,Shares,false,From2024-04-012024-06-30,0000923601,2024-04-01,2024-06-30,,us-gaap,WeightedAverageNumberOfSharesOutstandingBasic,us-gaap:WeightedAverageNumberOfSharesOutstandingBasic_2024-06-30,2024-06-30,xbrl
Fact000340,WeightedAverageNumberOfDilutedSharesOutstanding,32090.0,Shares,false,From2024-04-012024-06-30,0000923601,2024-04-01,2024-06-30,,us-gaap,WeightedAverageNumberOfDilutedSharesOutstanding,us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding_2024-06-30,2024-06-30,xbrl
Fact000342,WeightedAverageNumberOfSharesOutstandingBasic,2224047.0,Shares,false,From2025-01-01to2025-06-30,0000923601,2025-01-01,2025-06-30,,us-gaap,WeightedAverageNumberOfSharesOutstandingBasic,us-gaap:WeightedAverageNumberOfSharesOutstandingBasic_2025-06-30,2025-06-30,xbrl
Fact000344,WeightedAverageNumberOfDilutedSharesOutstanding,2224047.0,Shares,false,From2025-01-01to2025-06-30,0000923601,2025-01-01,2025-06-30,,us-gaap,WeightedAverageNumberOfDilutedSharesOutstanding,us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding_2025-06-30,2025-06-30,xbrl
Fact000346,WeightedAverageNumberOfSharesOutstandingBasic,32090.0,Shares,false,From2024-01-012024-06-30,0000923601,2024-01-01,2024-06-30,,us-gaap,WeightedAverageNumberOfSharesOutstandingBasic,us-gaap:WeightedAverageNumberOfSharesOutstandingBasic_2024-06-30,2024-06-30,xbrl
Fact000348,WeightedAverageNumberOfDilutedSharesOutstanding,32090.0,Shares,false,From2024-01-012024-06-30,0000923601,2024-01-01,2024-06-30,,us-gaap,WeightedAverageNumberOfDilutedSharesOutstanding,us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding_2024-06-30,2024-06-30,xbrl
Fact000357,SharesOutstanding,2394829.0,Shares,false,AsOf2025-03-31_us-gaap_CommonStockMember,0000923601,,,2025-03-31,us-gaap,SharesOutstanding,us-gaap:SharesOutstanding_2025-03-31,2025-03-31,xbrl
Fact000350,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,24000.0,USD,false,AsOf2025-03-31_us-gaap_CommonStockMember,0000923601,,,2025-03-31,us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest_2025-03-31,2025-03-31,xbrl
Fact000367,StockGrantedDuringPeriodValueSharebasedCompensation,38000.0,USD,false,From2025-04-012025-06-30_us-gaap_AdditionalPaidInCapitalMember,0000923601,2025-04-01,2025-06-30,,us-gaap,StockGrantedDuringPeriodValueSharebasedCompensation,us-gaap:StockGrantedDuringPeriodValueSharebasedCompensation_2025-06-30,2025-06-30,xbrl
Fact000391,SharesOutstanding,2514571.0,Shares,false,AsOf2025-06-30_us-gaap_CommonStockMember,0000923601,,,2025-06-30,us-gaap,SharesOutstanding,us-gaap:SharesOutstanding_2025-06-30,2025-06-30,xbrl
