Element_Name,Value,Unit,Trend,Instant_Date,Data_Type
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2810000.0,USD,-27038000.0,2025-06-30 00:00:00,xbrl
technology,76.0,count,,,keyword
software,21.0,count,,,keyword
ai,72.0,count,,,keyword
machine learning,13.0,count,,,keyword
cloud,6.0,count,,,keyword
saas,5.0,count,,,keyword
platform,17.0,count,,,keyword
digital,4.0,count,,,keyword
data,38.0,count,,,keyword
analytics,2.0,count,,,keyword
algorithm,0.0,count,,,keyword
automation,1.0,count,,,keyword
blockchain,0.0,count,,,keyword
cryptocurrency,0.0,count,,,keyword
cybersecurity,4.0,count,,,keyword
subscription,25.0,count,,,keyword
recurring,10.0,count,,,keyword
e-commerce,0.0,count,,,keyword
mobile,0.0,count,,,keyword
app,0.0,count,,,keyword
virtual,0.0,count,,,keyword
healthcare,0.0,count,,,keyword
biotech,0.0,count,,,keyword
pharmaceutical,0.0,count,,,keyword
medical,0.0,count,,,keyword
clinical,0.0,count,,,keyword
energy,0.0,count,,,keyword
renewable,0.0,count,,,keyword
solar,2.0,count,,,keyword
electric,0.0,count,,,keyword
battery,0.0,count,,,keyword
real estate,0.0,count,,,keyword
logistics,50.0,count,,,keyword
transportation,67.0,count,,,keyword
automotive,1.0,count,,,keyword
