Element_Name,Fact_ID,Value,Unit,Is_Null,Context_Ref,Entity_ID,Period_Start,Period_End,Instant_Date,Taxonomy_Prefix,Element_Local_Name,Combined_Element_Name,Date_Part,Data_Type,Trend
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,Fact000733,1134000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30 00:00:00,us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations_2025-06-30,2025-06-30,xbrl,-1761000.0
CommonStockSharesOutstanding,Fact000185,2514571.0,Shares,false,AsOf2025-06-30,0000923601,,,2025-06-30 00:00:00,us-gaap,CommonStockSharesOutstanding,us-gaap:CommonStockSharesOutstanding_2025-06-30,2025-06-30,xbrl,2482481.0
DeferredTaxAssetsGoodwillAndIntangibleAssets,Fact003001,674000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31 00:00:00,us-gaap,DeferredTaxAssetsGoodwillAndIntangibleAssets,us-gaap:DeferredTaxAssetsGoodwillAndIntangibleAssets_2024-12-31,2024-12-31,xbrl,0.0
DeferredTaxAssetsGross,Fact003025,8216000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31 00:00:00,us-gaap,DeferredTaxAssetsGross,us-gaap:DeferredTaxAssetsGross_2024-12-31,2024-12-31,xbrl,3514000.0
DeferredTaxAssetsInventory,Fact002998,355000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31 00:00:00,us-gaap,DeferredTaxAssetsInventory,us-gaap:DeferredTaxAssetsInventory_2024-12-31,2024-12-31,xbrl,-818000.0
DeferredTaxAssetsNet,Fact003031,176000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31 00:00:00,us-gaap,DeferredTaxAssetsNet,us-gaap:DeferredTaxAssetsNet_2024-12-31,2024-12-31,xbrl,-927000.0
DeferredTaxAssetsOperatingLossCarryforwardsDomestic,Fact002992,4085000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31 00:00:00,us-gaap,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,us-gaap:DeferredTaxAssetsOperatingLossCarryforwardsDomestic_2024-12-31,2024-12-31,xbrl,2794000.0
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,Fact002995,1426000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31 00:00:00,us-gaap,DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,us-gaap:DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal_2024-12-31,2024-12-31,xbrl,957000.0
DeferredTaxAssetsOther,Fact003088,8039000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31 00:00:00,us-gaap,DeferredTaxAssetsOther,us-gaap:DeferredTaxAssetsOther_2024-12-31,2024-12-31,xbrl,4439000.0
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,Fact003004,179000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31 00:00:00,us-gaap,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,us-gaap:DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost_2024-12-31,2024-12-31,xbrl,20000.0
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,Fact003022,20000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31 00:00:00,us-gaap,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals_2024-12-31,2024-12-31,xbrl,12000.0
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReturnsAndAllowances,Fact003019,476000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31 00:00:00,us-gaap,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReturnsAndAllowances,us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsReturnsAndAllowances_2024-12-31,2024-12-31,xbrl,92000.0
DeferredTaxAssetsValuationAllowance,Fact003028,8039000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31 00:00:00,us-gaap,DeferredTaxAssetsValuationAllowance,us-gaap:DeferredTaxAssetsValuationAllowance_2024-12-31,2024-12-31,xbrl,4439000.0
DeferredTaxLiabilities,Fact003046,176000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31 00:00:00,us-gaap,DeferredTaxLiabilities,us-gaap:DeferredTaxLiabilities_2024-12-31,2024-12-31,xbrl,-927000.0
DeferredTaxLiabilitiesPrepaidExpenses,Fact003043,32000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31 00:00:00,us-gaap,DeferredTaxLiabilitiesPrepaidExpenses,us-gaap:DeferredTaxLiabilitiesPrepaidExpenses_2024-12-31,2024-12-31,xbrl,-3000.0
DeferredTaxLiabilitiesPropertyPlantAndEquipment,Fact003034,39000.0,USD,false,AsOf2024-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2024-12-31 00:00:00,us-gaap,DeferredTaxLiabilitiesPropertyPlantAndEquipment,us-gaap:DeferredTaxLiabilitiesPropertyPlantAndEquipment_2024-12-31,2024-12-31,xbrl,-28000.0
DerivativeLiabilitiesCurrent,Fact000112,16603000.0,USD,false,AsOf2024-12-31,0000923601,,,2024-12-31 00:00:00,us-gaap,DerivativeLiabilitiesCurrent,us-gaap:DerivativeLiabilitiesCurrent_2024-12-31,2024-12-31,xbrl,0.0
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,Fact001013,60000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30 00:00:00,us-gaap,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,us-gaap:EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions_2025-06-30,2025-06-30,xbrl,27000.0
FiniteLivedIntangibleAssetsAccumulatedAmortization,Fact000854,60000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30 00:00:00,us-gaap,FiniteLivedIntangibleAssetsAccumulatedAmortization,us-gaap:FiniteLivedIntangibleAssetsAccumulatedAmortization_2025-06-30,2025-06-30,xbrl,30000.0
FiniteLivedIntangibleAssetsGross,Fact000851,375000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30 00:00:00,us-gaap,FiniteLivedIntangibleAssetsGross,us-gaap:FiniteLivedIntangibleAssetsGross_2025-06-30,2025-06-30,xbrl,0.0
IntangibleAssetsNetExcludingGoodwill,Fact000081,315000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30 00:00:00,us-gaap,IntangibleAssetsNetExcludingGoodwill,us-gaap:IntangibleAssetsNetExcludingGoodwill_2025-06-30,2025-06-30,xbrl,-30000.0
InventoryNet,Fact000060,2733000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30 00:00:00,us-gaap,InventoryNet,us-gaap:InventoryNet_2025-06-30,2025-06-30,xbrl,-4138000.0
Liabilities,Fact000144,9885000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30 00:00:00,us-gaap,Liabilities,us-gaap:Liabilities_2025-06-30,2025-06-30,xbrl,-10252000.0
LiabilitiesAndStockholdersEquity,Fact000210,12695000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30 00:00:00,us-gaap,LiabilitiesAndStockholdersEquity,us-gaap:LiabilitiesAndStockholdersEquity_2025-06-30,2025-06-30,xbrl,-15020000.0
LiabilitiesCurrent,Fact000129,9250000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30 00:00:00,us-gaap,LiabilitiesCurrent,us-gaap:LiabilitiesCurrent_2025-06-30,2025-06-30,xbrl,-6959000.0
OtherAssetsCurrent,Fact000063,93000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30 00:00:00,us-gaap,OtherAssetsCurrent,us-gaap:OtherAssetsCurrent_2025-06-30,2025-06-30,xbrl,-1826000.0
OtherAssetsNoncurrent,Fact000078,90000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30 00:00:00,us-gaap,OtherAssetsNoncurrent,us-gaap:OtherAssetsNoncurrent_2025-06-30,2025-06-30,xbrl,-89000.0
OtherFiniteLivedIntangibleAssetsGross,Fact000844,325000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30 00:00:00,us-gaap,OtherFiniteLivedIntangibleAssetsGross,us-gaap:OtherFiniteLivedIntangibleAssetsGross_2025-06-30,2025-06-30,xbrl,0.0
OtherLiabilitiesCurrent,Fact000126,62000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30 00:00:00,us-gaap,OtherLiabilitiesCurrent,us-gaap:OtherLiabilitiesCurrent_2025-06-30,2025-06-30,xbrl,-97000.0
OtherLiabilitiesNoncurrent,Fact001817,3000.0,USD,false,AsOf2023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-12-31 00:00:00,us-gaap,OtherLiabilitiesNoncurrent,us-gaap:OtherLiabilitiesNoncurrent_2023-12-31,2023-12-31,xbrl,0.0
PrepaidExpenseAndOtherAssetsCurrent,Fact000066,1219000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30 00:00:00,us-gaap,PrepaidExpenseAndOtherAssetsCurrent,us-gaap:PrepaidExpenseAndOtherAssetsCurrent_2025-06-30,2025-06-30,xbrl,1083000.0
RetainedEarningsAccumulatedDeficit,Fact000194,58948000.0,USD,false,AsOf2025-06-30,0000923601,,,2025-06-30 00:00:00,us-gaap,RetainedEarningsAccumulatedDeficit,us-gaap:RetainedEarningsAccumulatedDeficit_2025-06-30,2025-06-30,xbrl,33033000.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,Fact001007,1667.0,Shares,false,AsOf2025-06-30_custom_TwoThousandTwentyTwoPlanMember,0000923601,,,2025-06-30 00:00:00,us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,us-gaap:ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized_2025-06-30,2025-06-30,xbrl,167.0
