Fact_ID,Element_Name,Value,Unit,Is_Null,Context_Ref,Entity_ID,Period_Start,Period_End,Instant_Date,Taxonomy_Prefix,Element_Local_Name,Combined_Element_Name,Date_Part,Data_Type,Trend
Fact003023,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,8000.0,USD,false,AsOf2023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-12-31,us-gaap,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,us-gaap:DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals_2023-12-31,2023-12-31,xbrl,12000.0
Fact001751,PrepaidExpenseAndOtherAssetsCurrent,136000.0,USD,false,AsOf2023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-12-31,us-gaap,PrepaidExpenseAndOtherAssetsCurrent,us-gaap:PrepaidExpenseAndOtherAssetsCurrent_2023-12-31,2023-12-31,xbrl,1083000.0
Fact001726,AccountsReceivableNet,7308000.0,USD,false,AsOf2023-12-31_srt_ScenarioPreviouslyReportedMember_us-gaap_NonrelatedPartyMember,0000923601,,,2023-12-31,us-gaap,AccountsReceivableNet,us-gaap:AccountsReceivableNet_2023-12-31,2023-12-31,xbrl,-4988920.0
Fact003032,DeferredTaxAssetsNet,1103000.0,USD,false,AsOf2023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-12-31,us-gaap,DeferredTaxAssetsNet,us-gaap:DeferredTaxAssetsNet_2023-12-31,2023-12-31,xbrl,-927000.0
Fact003094,DeferredTaxAssetsOther,3600000.0,USD,false,AsOf2023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-12-31,us-gaap,DeferredTaxAssetsOther,us-gaap:DeferredTaxAssetsOther_2023-12-31,2023-12-31,xbrl,4439000.0
Fact001879,LiabilitiesAndStockholdersEquity,27715000.0,USD,false,AsOf2023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-12-31,us-gaap,LiabilitiesAndStockholdersEquity,us-gaap:LiabilitiesAndStockholdersEquity_2023-12-31,2023-12-31,xbrl,-15020000.0
Fact003047,DeferredTaxLiabilities,1103000.0,USD,false,AsOf2023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-12-31,us-gaap,DeferredTaxLiabilities,us-gaap:DeferredTaxLiabilities_2023-12-31,2023-12-31,xbrl,-927000.0
Fact001870,RetainedEarningsAccumulatedDeficit,25915000.0,USD,false,AsOf2023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-12-31,us-gaap,RetainedEarningsAccumulatedDeficit,us-gaap:RetainedEarningsAccumulatedDeficit_2023-12-31,2023-12-31,xbrl,33033000.0
Fact001864,CommonStockSharesOutstanding,32090.0,Shares,false,AsOf2023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-12-31,us-gaap,CommonStockSharesOutstanding,us-gaap:CommonStockSharesOutstanding_2023-12-31,2023-12-31,xbrl,2482481.0
Fact001820,Liabilities,20137000.0,USD,false,AsOf2023-12-31_srt_ScenarioPreviouslyReportedMember,0000923601,,,2023-12-31,us-gaap,Liabilities,us-gaap:Liabilities_2023-12-31,2023-12-31,xbrl,-10252000.0
